Restaurant_seq_ID,restaurant_ID,restaurant_name,country_code,Country,city,Address,locality,locality_verbose,restaurant_latitude,restaurant_longitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_color,rating_text,rating_votes
1,4,China 1,17,Dummy,Dummy,"G 05, Morya Landmark 1, Off Link Road, Andheri Lokhandwala, Andheri West, Mumbai, AAAA, Dummy",AAAA,"AAAA, Dummy",73.990000,28.880000,"Chinese, Indian",400,,N,N,N,N,4,0.0,CBCBC8,Not rated,0
2,21,The Golconda Bowl - hilton,17,Dummy,Dummy,"48, 1st Floor, Above CCD, JVPD Scheme, Vile Parle West, Mumbai, AAAA, Dummy",AAAA,"AAAA, Dummy",0.000000,0.000000,"North Indian, Biryani",2500,,N,N,N,N,4,0.0,CBCBC8,Not rated,0
3,42,Salt Water Cafe,17,Dummy,Dummy,"82, Nagin Mahal, Veer Nariman Road, Opposite Gaylords, Churchgate, Mumbai, AAAA, Dummy",AAAA,"AAAA, Dummy",0.000000,0.000000,"North Indian, Chinese, Cafe",1500,,N,N,N,N,4,0.0,CBCBC8,Not rated,0
4,53,Amber,1,India,New Delhi,"N-19, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",28.630197,77.220891,"North Indian, Chinese, Mughlai",1800,Rs.,Y,Y,N,N,3,2.6,FFBA00,Average,152
5,55,Berco's,1,India,New Delhi,"G-2/43, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",28.632452,77.217298,"Chinese, Thai",1100,Rs.,Y,Y,N,N,3,3.9,9ACD32,Good,2639
6,60,Colonel's Kababz,1,India,New Delhi,"29, Defence Colony Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",28.574036,77.230591,"North Indian, Mughlai",900,Rs.,Y,N,N,N,2,3.2,CDD614,Average,600
7,64,Diva - The Italian Restaurant,1,India,New Delhi,"M-8A, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",28.534202,77.243186,Italian,2500,Rs.,Y,Y,N,N,4,3.8,9ACD32,Good,372
8,65,Drums of Heaven,1,India,New Delhi,"S-14, Green Park Extension, Green Park, New Delhi",Green Park,"Green Park, New Delhi",28.558018,77.205934,"Chinese, Seafood, Thai",1800,Rs.,Y,Y,N,N,3,3.5,9ACD32,Good,234
9,66,Embassy,1,India,New Delhi,"11-D, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",28.633679,77.221003,"North Indian, Continental, European",2000,Rs.,Y,Y,N,N,4,3.5,9ACD32,Good,706
10,67,Fa Yian,1,India,New Delhi,"A-25/5, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",28.632811,77.217298,Chinese,1200,Rs.,Y,N,N,N,3,4.0,5BA829,Very Good,412
11,69,Chungwa,1,India,New Delhi,"M-34, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",28.533914,77.243138,"Chinese, Thai, Seafood",1100,Rs.,Y,Y,N,N,3,3.3,CDD614,Average,489
12,73,Ichiban,1,India,New Delhi,"9, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",28.608071,77.229789,"Chinese, Thai, Japanese",1200,Rs.,Y,Y,N,N,3,3.9,9ACD32,Good,768
13,89,Naivedyam,1,India,New Delhi,"Shop 1, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",28.555157,77.195275,South Indian,500,Rs.,N,Y,N,N,2,4.2,5BA829,Very Good,1627
14,93,Princess Garden,1,India,New Delhi,"E-32, South Extension 2, New Delhi",South Extension 2,"South Extension 2, New Delhi",28.568428,77.219229,"Chinese, North Indian",1200,Rs.,Y,N,N,N,3,2.7,FFBA00,Average,31
15,103,Veg Gulati,1,India,New Delhi,"8, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",28.608072,77.229806,North Indian,1200,Rs.,N,Y,N,N,3,3.8,9ACD32,Good,600
16,104,Woks - The Lalit New Delhi,1,India,New Delhi,"The Lalit, Barakhamba Avenue, Barakhamba Road, New Delhi","The Lalit New Delhi, Barakhamba Road","The Lalit New Delhi, Barakhamba Road, New Delhi",28.631407,77.227277,"Chinese, Seafood",4500,Rs.,Y,N,N,N,4,3.6,9ACD32,Good,62
17,112,Lotus Pond,1,India,New Delhi,"K-185, Surai Jullena, New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",28.561641,77.270476,"Chinese, Seafood, Asian",1800,Rs.,Y,Y,N,N,3,4.2,5BA829,Very Good,391
18,131,Chopsticks,1,India,New Delhi,"The Village Restaurant Complex, Next to Sirifort Auditorium, Khel Gaon Marg, New Delhi","The Village Restaurant Complex, Khel Gaon Marg","The Village Restaurant Complex, Khel Gaon Marg, New Delhi",28.552544,77.213390,"Chinese, Thai",1700,Rs.,Y,Y,N,N,3,3.6,9ACD32,Good,350
19,134,Moti Mahal Delux,1,India,New Delhi,"11, Defence Colony Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",28.573594,77.230187,"North Indian, Mughlai, Chinese",1000,Rs.,Y,Y,N,N,3,3.8,9ACD32,Good,130
20,143,Domino's Pizza,1,India,New Delhi,"M-42, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",28.633231,77.222896,"Pizza, Fast Food",700,Rs.,N,N,N,N,2,3.7,9ACD32,Good,336
21,147,Subway,1,India,New Delhi,"M-57, 1st Floor, M Block Market, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",28.550522,77.234992,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,Y,N,N,2,2.5,FFBA00,Average,115
22,148,Subway,1,India,New Delhi,"3, Satyam Cineplex, Nehru Place, New Delhi",Nehru Place,"Nehru Place, New Delhi",28.550175,77.251157,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,N,N,N,2,3.6,9ACD32,Good,142
23,149,Subway,1,India,New Delhi,"54, The India Mall, Community Centre, New Friends Colony, New Delhi","The India Mall, New Friends Colony","The India Mall, New Friends Colony, New Delhi",28.561470,77.268517,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,Y,N,N,2,1.9,DE1D0F,Poor,146
24,154,Subway,1,India,New Delhi,"8-C, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",28.599860,77.226010,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,Y,N,N,2,3.7,9ACD32,Good,188
25,157,Subway,1,India,Gurgaon,"SG-102, Ground Floor, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4","DLF Galleria, DLF Phase 4, Gurgaon",28.467614,77.081404,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,N,N,N,2,2.5,FFBA00,Average,125
26,158,Subway,1,India,Gurgaon,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","DLF Mega Mall, DLF Phase 1, Gurgaon",28.475689,77.093087,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,N,N,N,2,3.1,CDD614,Average,46
27,159,Subway,1,India,Gurgaon,"Shop 4A, 3rd Floor, Food Court, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road","MGF Metropolitan Mall, MG Road, Gurgaon",28.480476,77.080212,"American, Fast Food, Salad, Healthy Food",500,Rs.,N,Y,N,N,2,3.3,CDD614,Average,81
28,166,Punjabi By Nature,1,India,Noida,"P-19, Sector 18, Noida",Sector 18,"Sector 18, Noida",28.569006,77.324842,"North Indian, Mughlai",2000,Rs.,Y,Y,N,N,4,3.7,9ACD32,Good,770
29,171,McDonald's,1,India,New Delhi,"Community Centre, Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar","Basant Lok Market, Vasant Vihar, New Delhi",28.557486,77.163656,"Fast Food, Burger",500,Rs.,N,Y,N,N,2,3.5,9ACD32,Good,202
30,175,McDonald's,1,India,New Delhi,"Shop 2, PVR Anupam Complex, Community Centre, Saket, New Delhi",PVR Anupam Complex,"PVR Anupam Complex, New Delhi",28.523354,77.207650,"Fast Food, Burger",500,Rs.,N,Y,N,N,2,3.6,9ACD32,Good,219
31,176,McDonald's,1,India,New Delhi,"Shop 23, Central Market, West Punjabi Bagh, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",28.670339,77.133176,"Fast Food, Burger",500,Rs.,N,Y,N,N,2,3.7,9ACD32,Good,141
